,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
544,male,0,no,no,13,no,no,dsl,yes,no,no,yes,yes,no,month,yes,credit card,45.55,597.0,yes
545,male,0,yes,yes,34,yes,no,fiber optic,no,no,no,no,no,yes,one year,yes,bank transfer,78.95,2647.2,no
546,male,0,yes,yes,39,yes,no,fiber optic,no,yes,no,no,yes,no,month,yes,mailed,86.3,3266.0,yes
547,female,0,no,no,65,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer,105.05,6744.25,no
548,male,1,yes,no,50,yes,yes,fiber optic,yes,yes,yes,no,yes,no,one year,yes,bank transfer,101.9,5265.5,no
549,male,0,no,no,15,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.75,311.6,no
550,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,bank transfer,110.3,7966.9,no
551,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,115.6,8220.4,no
552,male,0,yes,yes,55,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,19.35,1153.25,no
553,female,0,yes,yes,23,yes,yes,no,no,no,no,no,no,no,two year,yes,credit card,25.6,514.75,no
554,male,0,no,no,32,yes,yes,fiber optic,no,yes,no,no,no,no,month,yes,bank transfer,80.35,2596.15,yes
555,female,0,yes,yes,56,yes,yes,dsl,yes,no,yes,no,no,yes,one year,yes,bank transfer,68.75,3808.0,no
556,female,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,bank transfer,19.9,19.9,no
557,male,0,no,no,38,yes,no,dsl,yes,yes,no,yes,yes,no,one year,no,mailed,70.6,2708.2,no
558,male,0,no,no,11,yes,no,fiber optic,no,no,no,no,no,no,month,no,electronic,70.2,760.05,no
559,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month,yes,electronic,49.3,49.3,no
560,male,0,yes,no,56,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,electronic,107.25,6033.3,no
561,male,0,yes,no,3,yes,yes,no,no,no,no,no,no,no,month,yes,mailed,23.6,89.05,no
562,male,0,yes,yes,7,yes,no,dsl,yes,no,no,no,yes,yes,month,no,credit card,69.7,516.15,no
563,male,0,yes,yes,59,yes,yes,fiber optic,no,no,yes,no,yes,yes,two year,yes,credit card,99.5,5861.75,no
564,male,0,no,no,7,yes,no,dsl,no,no,yes,yes,yes,no,month,no,bank transfer,64.3,445.95,no
565,male,0,yes,yes,71,yes,no,dsl,yes,no,yes,yes,no,yes,two year,yes,credit card,70.85,4973.4,no
566,male,0,yes,yes,15,yes,no,fiber optic,yes,no,no,yes,yes,yes,one year,no,electronic,101.9,1667.25,no
567,male,0,yes,no,71,yes,yes,dsl,yes,yes,no,yes,yes,no,two year,no,credit card,73.5,5357.75,no
568,female,0,no,no,35,yes,yes,fiber optic,no,no,yes,no,yes,yes,month,yes,electronic,100.25,3527.6,yes
569,female,0,no,no,11,no,no,dsl,no,yes,yes,yes,no,no,one year,yes,credit card,40.4,422.6,no
570,female,0,yes,yes,60,yes,no,no,no,no,no,no,no,no,two year,yes,credit card,19.25,1103.25,no
571,male,1,no,no,47,yes,yes,dsl,no,yes,no,yes,no,no,two year,no,bank transfer,59.6,2754.0,no
572,female,0,no,no,11,yes,no,dsl,no,no,yes,yes,no,yes,one year,no,credit card,64.9,697.25,no
573,male,0,yes,no,56,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,credit card,100.3,5614.45,yes
574,female,1,yes,no,28,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month,yes,electronic,110.85,3204.4,no
575,male,0,yes,no,61,yes,no,dsl,yes,yes,no,yes,yes,yes,two year,yes,mailed,81.05,4747.65,no
576,male,0,yes,yes,31,yes,yes,fiber optic,yes,no,yes,no,yes,no,one year,no,bank transfer,98.05,3082.1,no
577,male,0,no,no,9,yes,no,fiber optic,no,no,no,no,no,no,month,yes,electronic,70.5,597.9,no
578,male,1,yes,no,35,yes,yes,fiber optic,yes,yes,no,no,no,yes,month,yes,electronic,94.55,3365.4,no
579,male,0,no,no,2,yes,no,no,no,no,no,no,no,no,month,yes,mailed,19.65,38.8,no
580,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.0,233.55,yes
581,female,0,no,no,1,yes,no,fiber optic,yes,no,no,no,no,no,month,no,mailed,75.3,75.3,yes
582,female,1,no,no,4,yes,yes,fiber optic,no,no,yes,no,yes,no,month,yes,electronic,89.2,346.2,yes
583,female,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,month,yes,mailed,19.0,19.0,no
584,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month,yes,mailed,20.0,61.7,no
585,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,yes,no,month,yes,electronic,85.7,85.7,yes
586,male,0,no,no,52,yes,no,dsl,yes,yes,no,no,yes,no,two year,yes,credit card,63.25,3342.45,no
587,male,0,yes,yes,5,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.1,85.1,no
588,male,0,yes,no,72,yes,yes,fiber optic,yes,yes,yes,no,no,yes,two year,yes,electronic,99.15,7422.1,no
589,male,0,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic,90.4,6668.05,no
590,male,0,yes,no,72,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card,111.9,8071.05,no
591,male,0,yes,yes,46,yes,yes,no,no,no,no,no,no,no,one year,no,electronic,24.9,1174.8,no
592,male,0,yes,yes,63,yes,yes,dsl,yes,yes,yes,no,yes,yes,two year,no,credit card,83.5,5435.0,no
593,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month,yes,credit card,84.3,2438.6,no
594,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month,no,mailed,45.6,45.6,no
595,female,0,no,no,12,yes,yes,dsl,yes,no,yes,yes,no,no,month,yes,mailed,61.65,713.75,yes
596,male,0,no,no,16,no,no,dsl,yes,yes,yes,yes,yes,no,two year,no,mailed,54.85,916.15,no
597,male,0,no,no,4,yes,yes,dsl,no,no,no,yes,no,yes,month,no,mailed,65.55,237.2,no
598,male,0,yes,no,51,yes,yes,fiber optic,no,yes,no,no,no,yes,one year,yes,credit card,90.35,4614.55,no
599,male,0,yes,no,65,yes,no,no,no,no,no,no,no,no,two year,yes,credit card,20.4,1414.45,no
600,male,0,no,no,16,yes,no,fiber optic,no,no,no,yes,no,no,month,yes,credit card,74.55,1170.5,no
601,male,0,no,no,2,yes,no,no,no,no,no,no,no,no,one year,no,mailed,19.95,47.7,no
602,female,0,yes,yes,66,yes,yes,fiber optic,no,no,no,no,no,no,one year,yes,bank transfer,74.25,4859.25,no
603,male,0,no,no,46,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,no,electronic,108.65,4903.2,no
604,female,0,no,no,32,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,bank transfer,109.55,3608.0,no
605,male,0,yes,no,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,no,credit card,86.65,6094.25,no
606,male,0,yes,yes,38,yes,no,dsl,yes,no,yes,yes,yes,yes,two year,no,credit card,81.0,3084.9,no
607,male,0,no,yes,51,yes,no,dsl,no,no,no,yes,no,no,one year,no,credit card,47.85,2356.75,no
608,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,bank transfer,114.55,8306.05,no
609,female,1,yes,no,65,yes,yes,fiber optic,yes,no,yes,no,yes,yes,month,no,bank transfer,105.25,6786.4,yes
610,male,0,yes,yes,9,no,no,dsl,no,yes,no,no,no,no,month,yes,electronic,29.95,248.95,yes
611,female,0,yes,yes,9,yes,no,dsl,yes,yes,yes,yes,no,no,month,no,mailed,65.0,663.05,yes
612,male,0,no,yes,66,yes,no,no,no,no,no,no,no,no,two year,no,mailed,20.55,1357.1,no
613,female,1,no,no,44,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card,109.8,4860.35,no
614,male,0,no,no,50,yes,yes,dsl,no,no,yes,yes,no,yes,two year,no,bank transfer,69.5,3418.2,no
615,female,0,no,no,15,yes,yes,dsl,no,no,no,no,no,no,month,no,mailed,48.85,631.4,no
616,male,0,no,no,8,no,no,dsl,no,no,no,no,no,no,month,yes,credit card,25.25,186.3,no
617,female,1,no,no,66,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card,102.85,6976.75,no
618,female,0,no,no,57,yes,yes,fiber optic,yes,yes,no,yes,no,no,month,yes,bank transfer,87.55,4884.85,no
619,female,0,no,no,7,yes,yes,fiber optic,no,yes,no,no,no,no,month,yes,bank transfer,78.55,522.95,no
620,male,1,yes,yes,10,no,no,dsl,no,no,no,no,no,yes,month,yes,bank transfer,34.55,362.6,no
621,female,0,no,no,62,yes,yes,fiber optic,yes,yes,yes,no,no,no,one year,yes,electronic,92.05,5755.8,no
622,male,0,yes,yes,40,yes,no,fiber optic,no,no,yes,no,yes,no,one year,yes,electronic,85.05,3355.65,no
623,female,0,no,no,20,yes,no,no,no,no,no,no,no,no,two year,no,mailed,19.7,406.95,no
624,female,0,no,no,7,yes,no,no,no,no,no,no,no,no,month,no,bank transfer,20.0,137.6,yes
625,female,0,yes,no,25,yes,no,fiber optic,no,no,no,yes,yes,yes,month,yes,electronic,95.15,2395.7,no
626,male,0,yes,no,23,yes,yes,fiber optic,no,yes,yes,no,no,no,month,no,electronic,84.25,1968.1,no
627,female,1,yes,no,66,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,no,credit card,104.6,6819.45,no
628,female,1,no,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,no,electronic,111.65,7943.45,no
629,male,1,yes,no,49,yes,yes,fiber optic,no,yes,no,no,no,yes,month,no,credit card,90.05,4547.25,yes
630,male,1,yes,yes,43,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month,yes,bank transfer,110.75,4687.9,yes
631,female,0,yes,no,46,yes,yes,dsl,yes,no,no,no,no,no,month,no,bank transfer,55.0,2473.95,no
632,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,89.85,6562.9,no
633,male,0,no,no,10,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.35,176.3,no
634,female,0,no,no,40,no,no,dsl,yes,no,no,yes,yes,yes,one year,yes,bank transfer,54.55,2236.2,no
635,female,0,yes,yes,65,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month,yes,electronic,105.5,6985.65,yes
636,male,0,no,no,31,yes,no,fiber optic,no,no,yes,yes,yes,yes,two year,no,bank transfer,99.45,3109.9,no
637,female,0,yes,no,68,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,credit card,70.9,4911.35,no
638,male,1,yes,yes,56,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,bank transfer,104.55,5794.65,yes
639,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month,yes,electronic,85.25,855.3,yes
640,male,0,yes,yes,68,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer,25.4,1620.2,no
641,female,0,yes,yes,43,yes,no,dsl,no,no,no,no,yes,no,month,no,electronic,56.15,2499.3,yes
642,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,month,yes,electronic,89.55,89.55,yes
643,female,1,no,no,49,yes,no,fiber optic,no,yes,yes,no,no,yes,one year,yes,bank transfer,89.85,4287.2,no
644,female,0,yes,yes,15,yes,yes,no,no,no,no,no,no,no,month,yes,electronic,25.25,394.85,no
645,male,1,yes,no,20,yes,yes,fiber optic,no,no,no,no,yes,yes,month,yes,electronic,94.55,1899.65,yes
646,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month,yes,mailed,45.7,45.7,yes
647,male,0,yes,yes,50,yes,yes,dsl,no,no,yes,yes,yes,no,one year,yes,electronic,69.65,3442.15,no
648,female,1,no,no,2,yes,yes,fiber optic,no,yes,no,no,no,yes,month,no,electronic,89.5,161.5,yes
649,male,1,no,no,24,yes,no,fiber optic,no,no,no,no,no,no,month,no,credit card,70.0,1732.6,no
650,female,0,no,no,3,yes,no,fiber optic,no,no,no,no,no,no,month,yes,bank transfer,69.55,222.3,yes
651,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,no,no,month,yes,mailed,74.6,74.6,yes
652,male,0,yes,yes,35,yes,no,no,no,no,no,no,no,no,two year,no,mailed,20.1,655.3,no
653,female,0,no,no,17,yes,yes,no,no,no,no,no,no,no,month,no,mailed,24.8,475.25,no
654,female,1,no,no,8,yes,no,no,no,no,no,no,no,no,month,no,electronic,19.65,164.3,yes
655,male,0,no,no,10,yes,no,fiber optic,no,no,no,yes,yes,yes,month,yes,credit card,95.1,865.1,no
656,male,0,yes,yes,68,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card,88.85,6132.7,no
657,male,0,yes,no,45,yes,no,dsl,yes,yes,yes,no,yes,yes,one year,no,bank transfer,78.8,3597.5,no
658,male,0,yes,yes,2,yes,no,no,no,no,no,no,no,no,one year,no,mailed,19.85,35.9,yes
659,male,0,yes,no,37,yes,no,no,no,no,no,no,no,no,month,no,bank transfer,20.35,697.65,no
660,female,0,no,no,4,no,no,dsl,no,no,no,no,no,no,month,yes,mailed,24.25,96.05,yes
661,female,0,no,no,10,yes,no,dsl,no,no,no,no,no,no,month,no,mailed,45.25,428.7,no
662,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.05,20.05,no
663,male,0,yes,yes,65,yes,yes,dsl,yes,yes,no,no,no,yes,two year,yes,mailed,69.55,4459.15,no
664,female,0,yes,yes,57,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,19.5,1167.6,no
665,female,0,no,no,3,yes,no,fiber optic,no,no,yes,no,no,no,month,yes,mailed,74.75,238.1,no
666,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month,no,electronic,69.65,145.15,yes
667,male,0,no,no,49,no,no,dsl,no,no,yes,no,no,no,month,yes,bank transfer,30.2,1453.1,no
668,female,0,no,no,4,yes,no,dsl,no,no,no,no,no,no,month,no,mailed,45.65,191.05,yes
669,female,0,yes,no,70,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer,57.8,4039.3,no
670,female,0,yes,yes,53,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer,19.85,1039.45,no
671,male,0,yes,yes,53,yes,yes,no,no,no,no,no,no,no,two year,no,credit card,25.55,1336.1,no
672,female,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month,yes,mailed,75.05,75.05,yes
673,male,0,no,no,22,yes,yes,no,no,no,no,no,no,no,month,yes,credit card,24.85,493.4,no
674,male,1,no,no,52,no,no,dsl,no,yes,no,no,yes,yes,month,yes,electronic,49.15,2550.9,yes
675,male,1,no,no,65,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,electronic,110.35,7246.15,no
676,female,0,no,no,48,yes,yes,no,no,no,no,no,no,no,one year,no,bank transfer,24.55,1203.95,no
677,female,0,no,no,2,no,no,dsl,no,no,no,no,no,yes,month,yes,electronic,34.7,62.25,yes
678,male,0,no,no,3,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month,no,mailed,107.95,313.6,no
679,male,0,yes,no,45,yes,yes,fiber optic,no,yes,no,no,no,no,month,no,bank transfer,81.4,3775.85,no
680,male,0,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,yes,month,no,electronic,80.0,80.0,yes
681,female,0,yes,yes,61,yes,no,dsl,no,no,yes,yes,yes,yes,two year,yes,bank transfer,73.8,4616.05,no
682,male,0,no,no,3,yes,no,dsl,yes,no,no,yes,yes,no,month,yes,credit card,64.4,195.65,no
683,female,1,no,no,40,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card,103.75,4188.4,no
684,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month,no,mailed,71.1,71.1,no
685,female,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month,yes,electronic,49.9,49.9,no
686,male,0,no,no,51,yes,yes,no,no,no,no,no,no,no,one year,yes,bank transfer,24.6,1266.4,no
687,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month,yes,electronic,49.25,91.1,yes
688,male,0,no,no,52,no,no,dsl,no,yes,no,no,no,no,one year,no,mailed,30.1,1623.4,no
689,male,0,no,no,51,yes,yes,fiber optic,no,no,no,no,no,yes,month,no,bank transfer,83.4,4149.45,no
690,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,yes,mailed,20.45,20.45,no
691,male,0,yes,yes,31,yes,yes,dsl,yes,yes,no,yes,no,yes,one year,yes,bank transfer,75.25,2344.5,no
692,male,0,no,yes,47,yes,no,no,no,no,no,no,no,no,one year,no,credit card,20.55,1013.05,no
693,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month,yes,credit card,75.1,270.7,yes
694,female,1,no,no,22,yes,no,no,no,no,no,no,no,no,one year,yes,mailed,20.05,417.0,no
695,female,0,yes,no,1,yes,no,no,no,no,no,no,no,no,month,yes,mailed,20.65,20.65,no
696,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer,85.15,6316.2,no
697,male,0,yes,yes,3,yes,no,dsl,no,no,yes,no,no,no,month,yes,electronic,50.15,168.15,yes
698,male,1,yes,yes,47,yes,no,fiber optic,no,yes,no,no,yes,no,one year,yes,bank transfer,84.95,4018.05,no
699,male,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card,66.5,4811.6,no
700,male,0,yes,yes,66,yes,yes,dsl,no,no,yes,no,yes,no,two year,yes,bank transfer,63.3,4189.7,no
701,male,0,no,no,35,yes,yes,fiber optic,no,no,no,no,yes,no,month,no,electronic,83.15,2848.45,no
702,male,0,no,no,29,yes,yes,fiber optic,no,no,no,no,no,yes,month,yes,electronic,84.9,2516.2,no
703,female,0,no,no,2,yes,no,no,no,no,no,no,no,no,month,yes,mailed,20.55,33.6,no
704,male,0,no,no,4,yes,no,dsl,no,yes,no,no,no,no,month,no,mailed,49.25,208.45,no
705,female,0,no,no,25,yes,no,fiber optic,yes,yes,no,no,no,no,month,yes,bank transfer,79.85,2015.35,yes
706,female,0,no,no,65,yes,no,dsl,yes,yes,no,yes,no,no,two year,yes,mailed,59.6,3739.8,no
707,male,1,no,no,27,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer,104.65,2964.0,no
708,male,0,yes,no,29,yes,no,fiber optic,no,no,yes,no,no,no,month,yes,credit card,75.3,2263.4,no
709,male,0,yes,yes,29,yes,yes,dsl,no,yes,yes,no,yes,yes,month,no,credit card,80.1,2211.8,no
710,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.55,19.55,yes
711,female,0,yes,no,20,yes,no,fiber optic,no,no,yes,yes,no,no,month,yes,mailed,81.0,1683.7,no
712,female,0,no,no,58,yes,yes,no,no,no,no,no,no,no,two year,yes,credit card,24.7,1519.0,no
713,female,0,no,yes,14,yes,yes,fiber optic,yes,no,no,yes,no,no,month,yes,mailed,86.0,1164.05,no
714,male,0,yes,no,72,yes,yes,no,no,no,no,no,no,no,two year,no,mailed,25.4,1710.9,no
715,male,0,no,no,46,yes,yes,fiber optic,yes,no,no,no,yes,no,month,yes,credit card,89.15,4245.55,no
716,female,0,yes,no,71,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer,58.25,4145.9,no
717,male,0,no,no,32,yes,yes,fiber optic,no,no,no,no,no,yes,month,yes,bank transfer,85.65,2664.3,no
718,female,0,no,no,26,no,no,dsl,no,no,yes,no,yes,yes,month,yes,credit card,50.35,1277.5,no
719,male,1,yes,no,68,yes,yes,fiber optic,no,no,yes,no,no,no,month,yes,credit card,80.35,5589.3,no
720,male,0,yes,yes,2,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.2,34.75,no
721,male,0,yes,yes,61,yes,no,no,no,no,no,no,no,no,two year,no,credit card,20.55,1305.95,no
722,female,0,yes,yes,4,yes,yes,fiber optic,no,no,no,no,no,yes,month,yes,electronic,85.95,381.3,yes
723,male,0,no,no,3,yes,no,dsl,no,no,no,no,no,no,month,yes,electronic,45.35,141.5,yes
724,male,1,yes,no,33,yes,yes,fiber optic,no,no,no,no,yes,yes,month,yes,electronic,94.5,3105.55,yes
725,male,1,yes,no,9,yes,no,no,no,no,no,no,no,no,month,yes,mailed,21.25,204.55,no
726,female,0,no,no,22,yes,yes,no,no,no,no,no,no,no,two year,no,mailed,26.25,605.9,no
727,female,0,yes,yes,5,yes,no,fiber optic,no,no,no,no,yes,no,month,yes,electronic,80.85,356.1,no
728,female,1,no,no,30,yes,yes,fiber optic,yes,yes,yes,no,no,no,month,no,credit card,91.7,2758.15,yes
729,male,0,no,no,65,yes,yes,dsl,no,yes,yes,yes,no,yes,two year,yes,credit card,74.2,4805.65,no
730,female,0,no,no,45,yes,yes,fiber optic,no,no,yes,yes,no,no,month,yes,electronic,87.25,3941.7,yes
731,male,0,no,no,5,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.35,92.75,no
732,male,0,yes,yes,25,yes,no,fiber optic,no,yes,no,no,no,no,month,yes,electronic,75.5,1901.05,no
733,female,0,yes,yes,72,yes,yes,fiber optic,yes,no,no,no,no,no,two year,no,bank transfer,79.05,5730.7,no
734,female,0,yes,no,27,yes,yes,fiber optic,no,no,yes,no,no,yes,month,no,bank transfer,90.15,2423.4,no
735,male,0,yes,yes,32,no,no,dsl,no,no,yes,no,yes,yes,month,no,credit card,50.6,1653.45,no
736,female,0,no,no,30,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,no,credit card,110.45,3327.05,no
737,male,0,yes,no,70,yes,no,fiber optic,yes,yes,yes,yes,no,yes,two year,no,credit card,101.0,7085.5,no
738,male,1,no,no,42,yes,yes,fiber optic,no,yes,no,no,no,no,month,yes,bank transfer,79.35,3344.1,no
739,female,1,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,89.85,6697.35,no
740,female,0,no,no,47,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,mailed,65.0,2879.9,no
741,female,0,no,no,2,yes,no,fiber optic,yes,no,yes,no,no,no,month,yes,electronic,80.45,137.1,no
742,male,0,no,no,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month,no,electronic,98.55,1008.55,yes
743,female,0,yes,yes,61,yes,yes,no,no,no,no,no,no,no,two year,yes,mailed,24.1,1551.6,no
744,female,0,no,no,5,yes,no,dsl,no,no,no,no,no,no,month,yes,credit card,44.05,202.15,no
745,female,1,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,credit card,110.8,7882.25,no
746,male,1,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,114.95,8196.4,no
747,female,1,no,no,3,yes,no,fiber optic,no,no,yes,no,no,no,month,no,mailed,75.05,202.9,no
748,male,0,yes,no,48,yes,no,no,no,no,no,no,no,no,two year,no,mailed,19.25,855.1,no
749,female,0,no,no,63,yes,no,fiber optic,no,no,yes,yes,yes,no,one year,yes,credit card,90.05,5817.0,no
750,female,0,no,no,27,yes,no,dsl,yes,yes,no,no,no,no,month,yes,mailed,56.7,1652.95,no
751,male,0,yes,yes,70,yes,no,dsl,yes,yes,yes,no,yes,yes,two year,yes,credit card,80.15,5600.15,no
752,male,0,yes,yes,7,yes,no,dsl,yes,no,yes,yes,no,yes,month,yes,credit card,71.35,515.75,no
753,male,0,no,yes,0,yes,no,no,no,no,no,no,no,no,two year,no,mailed,20.25,2283.3005,no
754,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month,no,electronic,90.35,190.5,no
755,male,1,no,no,20,yes,yes,fiber optic,no,no,yes,no,yes,yes,month,yes,electronic,98.55,1842.8,yes
756,male,0,no,no,66,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,19.7,1253.8,no
757,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.85,57.2,no
758,female,0,no,yes,15,yes,no,fiber optic,no,yes,no,no,no,yes,month,yes,bank transfer,85.9,1269.55,yes
759,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,yes,no,no,two year,yes,bank transfer,90.35,6563.4,no
760,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.8,20.8,no
761,female,0,no,no,22,yes,no,fiber optic,no,no,no,no,yes,yes,month,no,electronic,89.25,1907.85,yes
762,male,0,yes,no,3,yes,no,fiber optic,no,no,no,no,no,no,month,yes,electronic,70.3,208.85,yes
763,female,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,no,no,two year,no,bank transfer,66.85,4758.8,no
764,male,0,yes,yes,65,yes,no,no,no,no,no,no,no,no,two year,no,mailed,19.9,1292.6,no
765,female,0,no,no,11,no,no,dsl,no,no,no,no,yes,no,month,yes,mailed,35.8,363.15,no
766,male,0,no,no,22,yes,yes,fiber optic,no,yes,no,no,no,no,month,yes,mailed,78.85,1600.25,no
767,male,0,no,no,14,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer,20.4,275.7,no
768,male,0,no,no,41,yes,no,fiber optic,no,no,no,yes,no,no,month,yes,electronic,74.25,3089.1,no
769,male,0,yes,no,17,yes,no,dsl,yes,yes,no,no,no,yes,one year,no,mailed,64.8,1175.6,no
770,male,0,no,no,11,yes,no,no,no,no,no,no,no,no,month,yes,credit card,20.45,237.3,no
771,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,month,yes,electronic,93.35,1444.65,yes
772,female,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.9,19.9,yes
773,female,0,yes,no,5,yes,no,fiber optic,yes,no,yes,no,no,yes,month,yes,mailed,88.9,454.15,yes
774,male,0,yes,no,33,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,electronic,95.8,3036.75,yes
775,female,0,yes,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,credit card,110.65,8065.65,no
776,female,0,yes,yes,3,no,no,dsl,no,yes,no,no,no,yes,month,no,mailed,40.3,92.5,no
777,male,0,no,no,2,yes,yes,fiber optic,no,yes,no,no,no,no,month,yes,electronic,82.0,184.65,yes
778,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,one year,yes,credit card,107.0,6152.3,no
779,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month,no,electronic,45.35,89.5,yes
780,male,0,yes,yes,71,yes,no,dsl,no,yes,no,yes,yes,yes,two year,yes,credit card,73.35,5154.5,no
781,female,0,yes,yes,5,yes,no,dsl,no,no,no,no,no,no,month,no,mailed,44.8,220.45,no
782,male,0,yes,yes,27,yes,no,dsl,yes,yes,no,no,no,no,month,yes,credit card,54.75,1510.3,no
783,female,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month,yes,electronic,52.2,52.2,yes
784,male,0,no,yes,63,no,no,dsl,yes,yes,no,yes,no,no,one year,yes,bank transfer,40.6,2588.95,no
785,female,1,no,no,46,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,electronic,110.0,4874.8,yes
786,male,0,yes,yes,72,yes,yes,dsl,yes,no,no,no,no,no,two year,no,bank transfer,55.3,3983.6,no
